,user,id,created_at,text
0,PhotoWorkout,852310483042480133,2017-04-13 00:00:28,"We found this super pack of premium presets for just $29  >> http://phowo.co/2pg77Wi  

#Lightroom #Presets #Photographypic.twitter.com/YwKGN3Aqax"
1,pkfortyseven,852310770532659200,2017-04-13 00:01:37,A million miles away... #fuji #fujifilm #xt1 #vsco #fujiholics #lightroom #afterlight #agameoftones #portriatpage … http://ift.tt/2oAU6cG pic.twitter.com/TWfa9Flru5
2,AnthonyMorganti,852313177165635584,2017-04-13 00:11:11,Topaz Labs - Episode 11: Lens Effects - #Photography #Lightroom #Photoshophttp://tinyurl.com/h8xlzpa 
3,PapajeckoL,852316071923032064,2017-04-13 00:22:41,Tanawin mula sa Antipolo. #NightPhotography #Lightroom https://www.instagram.com/p/BSziVpjBfTc/ 
4,SirMarkingtnSBR,852317705709506562,2017-04-13 00:29:10,Weapon Of Choice |  by @duckyhowsermd | #canon #t6 #dslr #adobe #lightroom http://fb.me/1aYH6TJZM 
5,123WebGuide,852325799701204992,2017-04-13 01:01:20,"We found this super pack of premium presets for just $29 
>> http://phowo.co/2pg77Wi 
#Lightroom #Presets #Photographypic.twitter.com/8FtCCJvAhC"
6,AnthonyMorganti,852328269886128128,2017-04-13 01:11:09,Lightroom Quick Tips - Episode 53: Collections - #Photography #Lightroom #Photoshophttp://tinyurl.com/j7n6pwj 
7,PhotoWorkout,852329823284453378,2017-04-13 01:17:20,"Download The Best FREE Lightroom Presets https://photoworkout.com/best-free-lightroom-presets/ …
#Lightroom #Presets #Photographypic.twitter.com/aYJR7fUXvb"
8,EOS7D_0829,852330288520638464,2017-04-13 01:19:10,"『Lightroomアップデート』
⇒ http://ameblo.jp/m-deboo1967/entry-12264901355.html … #アメブロ @ameba_officialさんから #Lightroom #Adobe #Photoshop"
9,benjaminandjen,852341254960676864,2017-04-13 02:02:45,#vsco keys works perfectly in the latest #lightroom cc 2015.10 update. still no reason to discontinue it. @Lightroom @vsco @VSCO_support
10,huwfisher1,852342310167826433,2017-04-13 02:06:57,"Kingston at the easter show 

#myeastershow #adobe #lightroom #photoshop #sandisk #discovery… https://www.instagram.com/p/BSzuQ53FAWB/ "
11,AnthonyMorganti,852343373440659458,2017-04-13 02:11:10,Lightroom Quick Tips - Episode 77: Catalog Backup Tips - #Photography #Lightroom #Photoshophttp://tinyurl.com/j6kkxqs 
12,QuesoconMezcal,852346419675410432,2017-04-13 02:23:16,"Auto hall.

#streetphotography #street #night #parallel #photography #canon #powershot #lightroom https://www.instagram.com/p/BSzwI3ehz0k/ "
13,JohnM_foto,852348396149108737,2017-04-13 02:31:08,Selective Colour of the Truth Bus #bus #Lightroom #housesofparliament #londoncity #city #adobe #bnw #bnw_capturespic.twitter.com/ipM48po5SI
14,AnthonyMorganti,852358861382197248,2017-04-13 03:12:43,Photo Critique - Episode 134 - #Photography #Lightroom #Photoshop http://tinyurl.com/zg4bvg3 
15,AnthonyMorganti,852358861382197248,2017-04-13 03:12:43,Photo Critique - Episode 134 - #Photography #Lightroom #Photoshophttp://tinyurl.com/zg4bvg3 
16,liclonny,852362372014592004,2017-04-13 03:26:40,"#Lightroom NUEVO TUTORIAL para Integrantes de liclonny 
Versión 1280 x 720 HD.
LIGHTROOM 6 CURSO COMPLETO... http://fb.me/1hU7KoScV "
17,kilanyJR,852366848645640198,2017-04-13 03:44:27,"The Simple Gifts = Happiness 
#nikon #photography #light #happy #gift #love #Lightroom https://www.instagram.com/p/BSz5a_alnce/ "
18,Wolfdale64,852368260561588224,2017-04-13 03:50:04,Late evening/late night workflow in #Lightroom. #AdobeLightroom
19,imeduardomoreno,852370440517537794,2017-04-13 03:58:43,#EduardoMoreno #photographer #photography #canon #70d #50mm #portrait #lightroom #model… https://www.instagram.com/p/BSz7D-ogZ82/ 
20,skrebol,852370655605649408,2017-04-13 03:59:35,Amazing Surreal Shark Photoshop Tutorial You Have to Try http://ift.tt/2p8zpFF  | Around the web #photoshop #lightroom
21,glittercamera,852370845330792449,2017-04-13 04:00:20,"القص والتدوير الصور Lightroom   
http://bit.ly/1XGly0V 
#glitter_camera
خطوه بخطوه لاحتراف #التصويرالفوتوغرافي
#التصوير #lightroom"
22,AnthonyMorganti,852373565517287424,2017-04-13 04:11:09,Photo Critique - Episode 26 - #Photography #Lightroom #Photoshophttp://tinyurl.com/gu5bnug 
23,serge_labbe,852374279958269952,2017-04-13 04:13:59,Bonne nuit : #Québec #Image #Canon #Flickr #Photo #Photography #Picture #Lightroom #PhotoDeRuepic.twitter.com/VRWMg1JRT4
24,I_Y_kikkoro,852380457119264768,2017-04-13 04:38:32,"桜花。
人を迎える華やかさが心を締めつける。
なぜこの季節が出会いと別れになるのか。
#iPhone7
#lightroom
#ファインダー越しの私の世界
#写真好きな人と繋がりたい… https://www.instagram.com/p/BSz_nfthUVw/ "
25,MMileem,852382038346915840,2017-04-13 04:44:49,"ข้อความจากใจ : ร้อนชิพหายยย  ไฟเยอรรรร์ 
#MMileem #lightroom @ Amphoe Khao Chaison https://www.instagram.com/p/BS0AVmUgXNg/ "
26,imeduardomoreno,852383222277255168,2017-04-13 04:49:31,#EduardoMoreno #photographer #photography #canon #70d #50mm #portrait #lightroom #model… https://www.instagram.com/p/BS0A4D4gsZ_/ 
27,PhotoWorkout,852385993386848259,2017-04-13 05:00:32,"We found this super pack of premium presets for just $29  >> http://phowo.co/2pg77Wi  

#Lightroom #Presets #Photographypic.twitter.com/Q02FxKN1G3"
28,AnthonyMorganti,852388644883243008,2017-04-13 05:11:04,5 Incredibly Simple Things You Can Do Right Now To Improve Your Photography - #Photography #Lightroom #Photoshophttp://tinyurl.com/jzo4l2b 
29,liclonny,852389787759726592,2017-04-13 05:15:36,Tutoriales Lightroom (Español) liclonny YouTube Channel: #Tutorial #Lightroom 6. No. 41. Revelar. ¿Cómo cor... …http://liclonny-tutorialeslightroom.blogspot.com/2017/04/tutorial-lightroom-6-no-41-revelar-como.html?spref=tw …
30,liclonny,852390695428075521,2017-04-13 05:19:13,liclonny Tutoriales: #Tutorial #Lightroom 6. No. 41. Revelar. ¿Cómo cor... http://liclonnytutoriales.blogspot.com/2017/04/tutorial-lightroom-6-no-41-revelar-como.html?spref=tw …
31,Tamaishingo22,852401066876452864,2017-04-13 06:00:25,"写真の再構築
#reconstruction
#lightroom pic.twitter.com/1bv4H3wkjX"
32,123WebGuide,852401298871906305,2017-04-13 06:01:21,"We found this super pack of premium presets for just $29 
>> http://phowo.co/2pg77Wi 
#Lightroom #Presets #Photographypic.twitter.com/I5yzak5MK3"
33,AnthonyMorganti,852403862908665856,2017-04-13 06:11:32,Lightroom Quick Tips - Episode 70: Most Accurate White and Black Points - #Photography #Lightroom #Photoshophttp://tinyurl.com/j6j5uxo 
34,bojansavke,852404824096354304,2017-04-13 06:15:21,Smart Previews in #Lightroom 5 http://bit.ly/2oTrJXx  http://fb.me/1btVjKGdi 
35,mathi_bom,852404884930539520,2017-04-13 06:15:36,"Magical Forrest

#olympus #sweden #lightroom #nikcollection #photoshop http://ift.tt/2oBGkXm pic.twitter.com/KR8I51GjBS"
36,iMunster,852406674551783425,2017-04-13 06:22:42,Am I doing this right?! #photoshop #lightroom
37,kyana_O,852407435717300224,2017-04-13 06:25:44,"Lightroomで初めてRAW現像やってみました！！
写真はさっきベランダから撮ったやつですｗｗ
楽しすぎて色々いじりまくっちゃいました(笑)
写真の幅が広がった気がします←単純
#写真撮ってる人と繋がりたい #lightroom #RAW現像pic.twitter.com/juicSnjaqF"
38,PhotosBarry,852410843027447808,2017-04-13 06:39:16,"Spencer P. Jones. 

#people #barrytakesphotos #photographer #lightroom #artistsmelbourne… https://www.instagram.com/p/BS0Nb45gV0X/ "
39,RyanAgeng_,852418236691791872,2017-04-13 07:08:39,"Jika kemarin kita sibuk mencari, hari ini mungkin kita harus sibuk memperbaiki diri!

#lightroom… https://www.instagram.com/p/BS0Qy66h_ck/ "
40,AnthonyMorganti,852418860414324736,2017-04-13 07:11:08,Photo Critique - Episode 10 - #Photography #Lightroom #Photoshophttp://tinyurl.com/zwepuln 
41,HarmeetGabha,852419592068763648,2017-04-13 07:14:02,"#Win #Lightroom #Presets. 30 Premium Don't miss this great opportunity #HDR 
Enter today https://gleam.io/1MjvY/subscribe-for-your-chance-to-win …pic.twitter.com/FUShh79wCd"
42,robertwongphoto,852419829487337472,2017-04-13 07:14:59,Flower girls. Tuesday photoshoot with Lycia and Chloe. #photographer #models #lingerie #glamour #nikon #lightroom #lighting #studiopic.twitter.com/6y5zN3xXJP
43,zoomnclick,852421137401348097,2017-04-13 07:20:11,How to Make Keyword Lists and Get Them Into #Lightroom http://ow.ly/OOE730aKLi2 
44,tokyotowergram,852423144052862977,2017-04-13 07:28:09,".
パリは電器もお洒落さん
.
Floor lighting are so cute at Paris!!
.
.
.
#france #Paris #furniture #lightroom #Lighting #cute … http://ift.tt/2p9eJgC pic.twitter.com/QLGzxklLMC"
45,satyamhosting,852426208633663488,2017-04-13 07:40:20,HSL scheming: applying color harmonies in Lightroom  #design #colors #lightroom http://tinyurl.com/grtc2t4  | http://satyam.tech pic.twitter.com/wmSyfvjHXx
46,karthic_guru,852428048653840384,2017-04-13 07:47:38,#krishna #Doll #God #Vishu #office #instaclick #iphone6s #Adobe #lightroom @ Cognizant Kits… https://www.instagram.com/p/BS0VQg2gNy4/ 
47,wiserdumb,852428116836442114,2017-04-13 07:47:55,"#GeriyeFırlatmalıPerşembe'de bu hafta: Roma
#rome #rome #streetphotography #perspective #lightroom #vsco http://ift.tt/2ouIvLG pic.twitter.com/D8MUJ2Lv45"
48,morgenrot2010,852432369860530176,2017-04-13 08:04:49,【Lightroom】は太陽の“光芒”の美しい再現に適した現像ソフトだ！ http://nature-photoartist.com/post-1661/  #Lightroom #RAW現像
49,AnthonyMorganti,852433938916278272,2017-04-13 08:11:03,"Free Presets, Actions and Brushes for Lightroom and Photoshop - #Photography #Lightroom #Photoshophttp://tinyurl.com/hqlet9f "
50,gp_photographe,852436103906938881,2017-04-13 08:19:39,@lrpresetshoppe Hi I looking for a nice preset on worm color in #lightroom
